<Trait>	SC	15NT1	15NT2	15NT3	DT	DPS	AR	PDM	PTN_percent	PTN	GDM	GTN_percent	GTN
29_06:486618	13.55146679	90.74015226	84.86000822	74.43242238	76.36931235	80.29021034	2.206517998	200.7933445	1.168034136	2.374410514	25.74214063	2.089856293	0.514508409
30_01a:486622	9.099070662	94.2521253	89.14226177	76.59281549	98.81816496	99.05520381	2.941944072	280.3960957	1.074129891	3.060712414	27.54534997	2.143201068	0.55259661
30_02a:486623	12.20325844	93.8152344	91.01099238	80.13087102	79.81882391	80.2527672	2.656625165	221.3928094	1.162634784	2.516042198	12.17953277	2.214260085	0.243982966
30_03:486624	9.572512107	105.5044821	92.08259788	81.14701931	76.84058635	80.26536714	2.977907061	230.7300152	1.437985643	3.350485575	11.07272638	2.40362856	0.202202764
30_05:486625	11.78878547	95.88362776	92.04329895	79.72770918	76.67446872	79.36646412	2.543483073	195.1166309	1.287324478	2.457607774	14.031274	2.146374764	0.276121373
30_06:486626	8.233062557	90.61993236	85.22284788	77.20398909	76.26180036	80.14095165	2.063567511	192.7923265	1.172024542	2.162398161	30.96760683	2.1082654	0.64997899
31_01:486627	13.10498621	99.82948454	89.26112008	82.3740533	75.97390017	82.50149009	3.263821326	216.174541	1.260306701	2.80948215	11.22770353	2.249453448	0.242733258
31_02:486628	13.00199514	100.5891943	91.68676676	82.96326295	80.12181436	85.154945	2.255115167	212.6504082	1.156675706	2.417549382	24.61128196	2.203281384	0.55660217
31_03:486629	13.49436807	101.2866393	88.74489504	79.22700155	84.64080484	85.06957307	1.94077037	209.0992768	1.175905589	2.477882978	33.06733312	2.153408881	0.696929973
31_04:486630	13.0806025	98.27063284	92.00351343	80.85603786	84.47978357	88.25183505	1.666606745	214.2750433	1.095615548	2.309120801	12.12141972	2.263812511	0.287067854
31_05:486631	14.29753564	96.20027125	88.09805977	78.2582372	79.88468893	82.62450142	2.468348633	196.3546821	1.232796672	2.412251779	11.10358695	2.333608477	0.258894593
31_06a:486632	9.615832464	97.96203157	90.45809216	78.95072923	85.31748214	88.41111452	2.970359025	154.036517	1.279476114	1.78608204	NA	NA	NA
32_01:486633	12.1719048	95.42614626	85.66845821	77.1443675	88.58771224	88.2751474	2.387145648	217.2694473	1.262108597	2.784892499	28.69985398	2.076621409	0.576781482
