Longitude,Latitude,Plot,TFamily,Line,Rep,SC,SC_logT,SC_sqrtT,DT,DT_logT,DT_sqrt_T,DPS,DPS_logT,DPS_sqrtT,15NT1,15NT1_logT,15NT1_sqrtT,15NT2,15NT2_logT,15NT2_sqrtT,15NT3,15NT3_logT,15NT3_sqrtT,AR,AR_logT,AR_sqrtT,PDM,PDM_logT,PDM_sqrtT,PTN,PTN_logT,PTN_sqrtT,GDM,GDM_logT,GDM_sqrtT,GTN,GTN_logT,GTN_sqrtT
6,5,6.05,TB,B 43,1,3,0.602059991,1.870828693,92,1.968482949,9.617692031,107,2.033423755,10.36822068,168.99,2.230426953,13.01888632,135.83,2.136191538,11.67618162,129.12,2.114334745,11.38495546,7.00,0.903089987,2.738612788,299.25,2.477483016,17.31328969,1.32,0.365487985,1.349073756,NA,NA,NA,NA,NA,NA
6,6,6.06,TB,B 01,1,15,1.204119983,3.937003937,73,1.86923172,8.5732141,80,1.908485019,8.972179222,115.88,2.067754073,10.78812925,108.86,2.040837302,10.45750545,98.68,1.998614813,9.958993776,3.00,0.602059991,1.870828693,237.00,2.376576957,15.41103501,1.2,0.342422681,1.303840481,3.4,0.643452676,1.974841766,1.97,0.472756449,1.571623365
6,7,6.07,TD,D 51,2,15,1.204119983,3.937003937,80,1.908485019,8.972179222,80,1.908485019,8.972179222,133.34,2.12819301,11.568759,113.86,2.060157819,10.69378757,92.05,1.968706542,9.620181532,1.67,0.425968732,1.471960144,234.33,2.371683446,15.32427269,1.29,0.359835482,1.337908816,8.8,0.991226076,3.049590136,2.51,0.545307116,1.734935157
6,8,6.08,T,Positive,2,14,1.176091259,3.807886553,122,2.089905111,11.06797181,128,2.11058971,11.33578405,99.05,2.000200345,9.977281283,86.25,1.940763626,9.313948485,74.05,1.875336672,8.634093839,7.33,0.920818754,2.798809271,517.50,2.714748761,22.75961335,0.9,0.278753601,1.183215957,23.0,1.38081401,4.85111671,1.9,0.462397998,1.549193338
6,9,6.09,TD,D 36,2,15,1.204119983,3.937003937,85,1.934498451,9.246621004,85,1.934498451,9.246621004,112.34,2.054376231,10.62253167,110.21,2.04614285,10.5218699,100.62,2.006996965,10.05605087,1.00,0.301029996,1.224744871,189.00,2.278753601,13.7658999,0.65,0.217483944,1.072380529,124.3,2.09806659,11.17288384,1.65,0.423245874,1.46628783
6,10,6.10,TD,D 62,2,10,1.041392685,3.240370349,85,1.934498451,9.246621004,92,1.968482949,9.617692031,103.94,2.020940121,10.21957793,78.44,1.900047598,8.884904595,78.04,1.897863346,8.862448165,3.67,0.669006781,2.041241452,256.83,2.411339063,16.04161255,1.37,0.374748346,1.367479433,12.3,1.124938737,3.58236421,2.06,0.485721426,1.6
6,11,6.11,TD,D 114,2,8,0.954242509,2.915475947,73,1.86923172,8.5732141,80,1.908485019,8.972179222,92.17,1.969287364,9.62665142,73.12,1.869913662,8.57999349,61.25,1.794149307,7.858207577,4.33,0.726998728,2.198484326,249.67,2.399096586,15.81665789,1.79,0.445604203,1.513274595,25.7,1.427053114,5.121848625,1.93,0.46686762,1.558845727
6,12,6.12,TD,D 85,2,14,1.176091259,3.807886553,80,1.908485019,8.972179222,85,1.934498451,9.246621004,99.60,2.002587631,10.00487894,84.08,1.929850112,9.196979589,84.00,1.929414274,9.192338632,2.67,0.56427143,1.779513042,220.83,2.346026805,14.87727574,1.28,0.357934847,1.334166406,0.3,0.113943352,0.894427191,3.21,0.624282096,1.926136028
7,1,7.01,TB,B 29,1,8,0.954242509,2.915475947,85,1.934498451,9.246621004,85,1.934498451,9.246621004,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33,0.636822098,1.957890021,142.33,2.156347201,11.95129003,1.6,0.414973348,1.449137675,3.1,0.612783857,1.897366596,2.48,0.541579244,1.72626765
7,2,7.02,TB,B 60,1,9,1,3.082207001,85,1.934498451,9.246621004,92,1.968482949,9.617692031,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67,0.937852093,2.857738033,128.50,2.112269768,11.35781669,1.85,0.45484486,1.532970972,NA,NA,NA,NA,NA,NA
