Longitude,Latitude,Plot,TFamily,Parent1,Parent2,Line,Genotype,Rep,SC,SC_logT,SC_sqrtT,DT,DT_logT,DT_sqrtT,DPS,DPS_logT,DPS_sqrtT,15NT1,15NT1_logT,15NT1_sqrtT,15NT2,15NT2_logT,15NT2_sqrtT,15NT3,15NT3_logT,15NT3_sqrtT,AR,AR_logT,AR_sqrtT,PDM,PDM_logT,PDM_sqrtT,PTN_percent,PTN_percent_logT,PTN_percent_sqrtT,PTN,PTN_logT,PTN_sqrtT,GDM,GDM_logT,GDM_sqrtT,GTN_percent,GTN_percent_logT,GTN_percent_sqrtT,GTN,GTN_logT,GTN_sqrtT
35,7,35.07,TF,T,F,F 17,53_03:486738,2,6,0.84509804,2.549509757,100,2.004321374,10.02496883,107,2.033423755,10.36822068,106.08,2.029708363,10.32375901,87.24,1.945665499,9.366963222,81.02,1.913919765,9.028842672,2.67,0.564666064,1.780449381,238.33,2.378997141,15.45412566,1.33,0.367355921,1.352774926,3.169789,0.620114079,1.915669335,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,3,53.03,TF,T,F,F 17,53_03:486738,1,4,0.698970004,2.121320344,85,1.934498451,9.246621004,92,1.968482949,9.617692031,90.84,1.963031875,9.557196242,129.62,2.116009679,11.40701539,73.94,1.874713689,8.627861844,5,0.77815125,2.34520788,415.25,2.619354247,20.3899485,1.34,0.369215857,1.356465997,5.56435,0.817191729,2.4625901,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,8,28.08,TF,T,F,F 18,55_02:486748,2,7,0.903089987,2.738612788,85,1.934498451,9.246621004,92,1.968482949,9.617692031,90.21,1.960042456,9.524179755,75.87,1.885756881,8.738993077,71.6,1.860936621,8.491171886,3,0.602059991,1.870828693,202.17,2.307859581,14.23622141,1.25,0.352182518,1.322875656,2.527125,0.547420851,1.7398635,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,2,55.02,TF,T,F,F 18,55_02:486748,1,6,0.84509804,2.549509757,85,1.934498451,9.246621004,92,1.968482949,9.617692031,71.61,1.860996437,8.491760713,50.2,1.709269961,7.120393248,46.29,1.674769314,6.84032163,2.67,0.564666064,1.780449381,267.67,2.429219175,16.37589692,1.4,0.380211242,1.378404875,3.74738,0.676453996,2.060917272,0.4,0.146128036,0.948683298,2.52,0.546542663,1.73781472,0.01008,0.004355772,0.714198852
38,8,38.08,TF,T,F,F 19,49_02:486717,2,8,0.954242509,2.915475947,100,2.004321374,10.02496883,100,2.004321374,10.02496883,120.25,2.083681747,10.98863049,119.31,2.080301727,10.94577544,104.19,2.021974455,10.23181313,3.67,0.669316881,2.042057786,246.67,2.393873404,15.72164114,0.97,0.294466226,1.212435565,2.392699,0.530545331,1.700793638,2.8,0.579783597,1.816590212,2.42,0.534026106,1.708800749,0.06776,0.028473647,0.753498507
49,2,49.02,TF,T,F,F 19,49_02:486717,1,8,0.954242509,2.915475947,92,1.968482949,9.617692031,100,2.004321374,10.02496883,NA,NA,NA,96.78,1.990250033,9.863062405,82.28,1.920540717,9.098351499,3.67,0.669316881,2.042057786,248.83,2.397644588,15.79018683,1.36,0.372912003,1.36381817,3.384088,0.641879263,1.970808971,9.3,1.012837225,3.130495168,2.72,0.57054294,1.794435844,0.25296,0.097937207,0.867732678
33,9,33.09,TF,T,F,F 20,53_06:486740,2,4,0.698970004,2.121320344,85,1.934498451,9.246621004,92,1.968482949,9.617692031,113.27,2.057932227,10.66630208,96.12,1.987308674,9.829547294,76.21,1.887673552,8.758424516,4.5,0.740362689,2.236067977,246,2.392696953,15.70031847,NA,NA,NA,NA,NA,NA,1.2,0.342422681,1.303840481,2.48,0.541579244,1.72626765,0.02976,0.012736018,0.727846138
53,6,53.06,TF,T,F,F 20,53_06:486740,1,7,0.903089987,2.738612788,85,1.934498451,9.246621004,100,2.004321374,10.02496883,102.07,2.013132276,10.12768483,99,2,9.974968672,73.74,1.873553094,8.616263691,4.33,0.726727209,2.197726098,288.67,2.461903519,17.00499926,1.1,0.322219295,1.264911064,3.17537,0.620694966,1.917125452,0.9,0.278753601,1.183215957,2.76,0.575187845,1.805547009,0.02484,0.010656068,0.724458418
38,7,38.07,TF,T,F,F 21,58_01:486762,2,12,1.113943352,3.535533906,85,1.934498451,9.246621004,85,1.934498451,9.246621004,82.83,1.923399466,9.128526716,83.58,1.927267681,9.169514709,91.33,1.965342836,9.582797086,2,0.477121255,1.58113883,160.67,2.208629438,12.69527471,1.29,0.359835482,1.337908816,2.072643,0.487512104,1.603946071,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,58.01,TF,T,F,F 21,58_01:486762,1,8,0.954242509,2.915475947,85,1.934498451,9.246621004,92,1.968482949,9.617692031,50.51,1.71189155,7.142128534,37.97,1.590730406,6.202418883,31.11,1.506640306,5.622277119,3.67,0.669316881,2.042057786,195.5,2.293362555,14,1.35,0.371067862,1.360147051,2.63925,0.561011891,1.771792877,0.9,0.278753601,1.183215957,2.59,0.555094449,1.757839583,0.02331,0.010007218,0.723401686
32,9,32.09,TF,T,F,F 22,59_01:486767,2,12,1.113943352,3.535533906,80,1.908485019,8.972179222,85,1.934498451,9.246621004,76.39,1.888684847,8.768694316,59.99,1.785258633,7.777531742,65.46,1.822560337,8.121576202,2,0.477121255,1.58113883,216.33,2.33711968,14.72514856,1.45,0.389166084,1.396424004,3.136785,0.61666295,1.907035658,10.1,1.045322979,3.255764119,2.655,0.562887381,1.776231967,0.268155,0.103172338,0.876444522
59,1,59.01,TF,T,F,F 22,59_01:486767,1,5,0.77815125,2.34520788,80,1.908485019,8.972179222,80,1.908485019,8.972179222,53.03,1.732634968,7.31641989,55.88,1.754959588,7.508661665,51.65,1.721398376,7.22149569,3.33,0.636487896,1.957038579,222.17,2.348635813,14.92213122,1.46,0.390935107,1.4,3.243682,0.627742833,1.934859685,9.4,1.017033339,3.146426545,2.26,0.5132176,1.661324773,0.21244,0.083660256,0.844061609
27,11,27.11,TF,T,F,F 23,50_04:486725,2,11,1.079181246,3.391164992,80,1.908485019,8.972179222,85,1.934498451,9.246621004,115.64,2.066847511,10.77682699,107.42,2.035109403,10.38845513,99.79,2.003417445,10.0144895,2.33,0.522444234,1.682260384,237.83,2.378088879,15.43794028,1.13,0.328379603,1.276714533,2.687479,0.566729556,1.785351226,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4,50.04,TF,T,F,F 23,50_04:486725,1,7,0.903089987,2.738612788,80,1.908485019,8.972179222,85,1.934498451,9.246621004,NA,NA,NA,63.8,1.811575006,8.018728079,58.8,1.776701184,7.700649323,3,0.602059991,1.870828693,248.33,2.396774537,15.77434626,1.24,0.350248018,1.319090596,3.079292,0.610584794,1.891901689,7.2,0.913813852,2.774887385,2.29,0.517195898,1.670329309,0.16488,0.066281189,0.815401741
30,8,30.08,TF,T,F,F 24,55_01:486747,2,11,1.079181246,3.391164992,85,1.934498451,9.246621004,92,1.968482949,9.617692031,76.91,1.891593204,8.798295289,79.24,1.90439092,8.92972564,66.11,1.826787239,8.161494961,2,0.477121255,1.58113883,236.67,2.375974366,15.40032467,0.96,0.292256071,1.208304597,2.272032,0.514817542,1.664942041,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,55.01,TF,T,F,F 24,55_01:486747,1,10,1.041392685,3.240370349,85,1.934498451,9.246621004,85,1.934498451,9.246621004,67.01,1.832572775,8.216446921,51.77,1.722387094,7.229799444,43.75,1.65079304,6.652067348,3,0.602059991,1.870828693,243.5,2.388278863,15.62049935,1.11,0.324282455,1.268857754,2.70285,0.568536119,1.789650804,0.6,0.204119983,1.048808848,2.09,0.489958479,1.609347694,0.01254,0.005412189,0.71591899
33,7,33.07,TF,T,F,F 25,51_03:486728,2,10,1.041392685,3.240370349,85,1.934498451,9.246621004,85,1.934498451,9.246621004,86.83,1.943642883,9.345052167,88.24,1.950559562,9.420191081,81.15,1.914607568,9.036038955,3,0.602059991,1.870828693,203.5,2.310693312,14.28285686,1.43,0.385606274,1.389244399,2.91005,0.592182311,1.846632069,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,3,51.03,TF,T,F,F 25,51_03:486728,1,7,0.903089987,2.738612788,80,1.908485019,8.972179222,85,1.934498451,9.246621004,88.11,1.949926444,9.41328848,92.61,1.971322245,9.64935231,80.02,1.908592239,8.97329371,4.67,0.753583059,2.2737634,244,2.389166084,15.63649577,1.34,0.369215857,1.356465997,3.2696,0.63038719,1.941545776,10.8,1.071882007,3.361547263,2.39,0.530199698,1.7,0.25812,0.099722066,0.870700867
34,11,34.11,TF,T,F,F 26,58_05:486765,2,6,0.84509804,2.549509757,80,1.908485019,8.972179222,85,1.934498451,9.246621004,84.05,1.929674318,9.195107395,89.56,1.956936414,9.489994731,73.58,1.872622379,8.606973917,3.33,0.636487896,1.957038579,211.67,2.327706231,14.56605643,1.23,0.348304863,1.315294644,2.603541,0.556729468,1.761686976,1.3,0.361727836,1.341640786,2.21,0.506505032,1.646207763,0.02873,0.012301405,0.727138226
58,5,58.05,TF,T,F,F 26,58_05:486765,1,5,0.77815125,2.34520788,80,1.908485019,8.972179222,85,1.934498451,9.246621004,81.18,1.914766137,9.037698822,58.6,1.77524626,7.687652438,58.26,1.772761647,7.665507159,2.67,0.564666064,1.780449381,205.67,2.315277439,14.3586211,1.02,0.305351369,1.232882801,2.097834,0.491058142,1.611779762,6,0.84509804,2.549509757,1.98,0.474216264,1.574801575,0.1188,0.048752458,0.786638418
51,4,51.04,TF,T,F,F 27,51_04a:486729,1,10,1.041392685,3.240370349,92,1.968482949,9.617692031,92,1.968482949,9.617692031,120.48,2.084504783,10.99909087,111.35,2.050573077,10.57591604,77.85,1.896801698,8.851553536,4,0.698970004,2.121320344,301.67,2.480969377,17.38303771,1.23,0.348304863,1.315294644,3.710541,0.673070788,2.051960282,0,0,0.707106781,2.19,0.503790683,1.640121947,0,0,0.707106781
29,10,29.1,TF,T,F,F 28,54_02:486743,2,10,1.041392685,3.240370349,80,1.908485019,8.972179222,85,1.934498451,9.246621004,123.04,2.093561758,11.11485492,87.68,1.947825684,9.390420651,83.22,1.925415237,9.149863387,2.67,0.564666064,1.780449381,206.83,2.317708238,14.3989583,1.27,0.356025857,1.33041347,2.626741,0.559516542,1.768259314,21.9,1.359835482,4.732863826,2.05,0.484299839,1.596871942,0.44895,0.161053399,0.974140647
54,2,54.02,TF,T,F,F 28,54_02:486743,1,10,1.041392685,3.240370349,80,1.908485019,8.972179222,85,1.934498451,9.246621004,65.07,1.820004307,8.097530488,45.42,1.666705136,6.776429738,53,1.73239376,7.314369419,1,0.301029996,1.224744871,185.5,2.270678836,13.6381817,1.12,0.326335861,1.272792206,2.0776,0.488212173,1.605490579,15.5,1.217483944,4,2.31,0.519827994,1.676305461,0.35805,0.13291576,0.926309883
30,11,30.11,TF,T,F,F 29,52_06:486735,2,4,0.698970004,2.121320344,85,1.934498451,9.246621004,92,1.968482949,9.617692031,100.21,2.005223425,10.03543721,98.08,1.995985998,9.928746144,69.63,1.848989206,8.374365648,5,0.77815125,2.34520788,334.67,2.525912529,18.30764867,1.19,0.340444115,1.3,3.982573,0.69745367,2.117208776,2.6,0.556302501,1.760681686,2.77,0.57634135,1.808314132,0.07202,0.030202888,0.756320038
