<Trait>,15NT1,15NT2,15NT3,AR,DPS,DT,GDM,GTNP,GTN,PDM,PTNP,PTN,SC
38_02:486662,98.52649863,90.41564737,78.97340591,3.469946144,85.5560834,82.27525758,11.89231861,2.214677652,0.250965975,230.6499103,1.16327313,2.728704895,9.142987343
38_03:486663,94.06633918,85.66828393,79.03808948,2.830546966,85.74491958,85.84122587,25.47878543,2.074946999,0.498145145,229.2101285,1.155100482,2.722368871,12.18338551
38_04:486664,94.52860944,87.52168447,79.13494397,2.259680216,92.72317005,92.5893073,17.01975272,2.193357275,0.359819458,207.3344406,1.148158002,2.351516803,9.529418724
38_05:486665,92.96851281,87.67108835,79.6449288,3.89678062,88.83809103,88.12084394,16.53253806,2.155946728,0.347382527,239.8084341,1.27882944,3.314918046,13.11456432
38_06:486666,96.63961512,88.16103011,78.45893935,3.741721172,89.06123579,82.71498835,27.36845946,2.121315386,0.545271203,212.7580443,1.20928427,2.522462373,11.28032087
39_02:486667,97.22074035,90.52990683,79.30428085,4.039358624,89.18430103,85.43147506,15.45797088,2.23440286,0.330007128,244.9567012,1.171697171,2.96067634,10.02740704
39_03:486668,93.55740128,86.22818995,78.58615477,2.385343035,89.05348272,85.40607431,13.87176782,2.123772066,0.290801611,198.7912234,1.217679004,2.235209389,11.02437496
39_04:486669,99.01656637,93.52325368,81.28597829,2.357343269,86.32973514,82.6509423,9.312954532,2.340658332,0.20157394,185.3395978,1.288462083,2.385854485,9.696111139
39_05a:486670,96.54214562,88.01392933,78.69946413,4.465703208,86.78437209,86.67212089,12.08394516,2.24883975,0.255975756,230.7807749,1.320412641,3.221054427,8.712958802
39_06:486671,93.05074765,88.23226013,78.03885053,2.828838696,80.61288922,79.97072213,22.57689495,2.117269671,0.468256676,213.2301405,1.14929078,2.294165887,12.36834291
4_04:486501,95.15034081,89.94446298,80.07180648,2.493014251,88.6058268,82.66572608,42.82765754,2.163054427,0.882790225,238.0488619,1.107425135,2.579637867,12.48379442
4_05:486502,105.5804885,97.48271111,80.73702675,4.350313346,84.762301,80.48964944,13.09185455,2.117419531,0.261484733,210.9324749,1.149605034,2.317199551,9.934327081
40_01:486672,92.60636809,86.55145014,79.71187547,2.78598942,85.51473911,82.96465132,11.88137156,2.129982827,0.257812685,216.5803896,1.288131848,3.004020835,14.32754737
40_03:486673,98.06043877,84.63141631,82.10474348,3.144596734,82.93066296,80.6100374,19.00090381,2.135425456,0.384938941,222.271429,1.159697675,2.614002102,12.57984913
40_04:486674,99.17894386,93.67589572,81.61855174,0.801044817,85.09985384,84.82036889,28.88254202,2.202844919,0.62230302,202.1115313,1.116221024,2.096412472,13.87460604
40_05a:486675,91.71466061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.673468361
40_06:486676,94.81598774,85.57752953,77.71208846,4.315760268,91.89979089,88.8530946,11.72817868,2.062685062,0.243130459,227.9526307,1.237390251,2.886477031,10.86609902
41_01:486677,106.3321046,93.20370803,81.87385548,3.445378181,95.89893086,96.17555042,13.42642669,2.263606391,0.295014897,224.2411896,1.201685556,2.881511654,13.11638899
41_02:486678,99.53654117,87.70521742,77.06493064,2.928291467,87.76113945,88.03745941,NA,NA,NA,174.8356612,1.233882055,2.136156816,7.883044152
41_05:486679,96.53783169,90.1229057,78.90979686,3.906033877,85.13853148,80.99028469,22.15113399,2.164536908,0.453173761,205.0431159,1.257260405,2.584904144,10.14330471
41_06:486680,102.2472103,94.30876432,79.73654317,3.293258685,88.5119903,83.31640042,13.69346275,2.229509074,0.297743878,260.8848389,1.179909031,3.236529071,13.56161289
42_01:486681,96.76190826,89.72970513,82.00371265,1.156250137,77.13384402,76.98525564,41.3176348,1.942051724,0.704752807,194.6064075,1.022162183,1.977666064,13.69075075
42_02a:486682,110.4758466,98.66626013,81.48443388,2.861482315,77.46749523,70.32358368,49.79384509,2.079228786,0.957689786,229.8777943,1.222600628,2.82827422,8.749421816
42_03:486683,93.60399462,89.1502831,79.03519397,1.243565817,85.40535589,85.38705332,72.86732544,1.907589205,1.212252045,208.4671108,0.957757108,1.779698865,12.31146049
42_05a:486684,103.4960281,92.26228896,78.39599811,5.125229527,85.66778941,83.50851401,7.734131155,2.183450276,0.166904204,244.8716048,1.273367505,3.234881708,4.443057369
42_06a:486685,90.56903192,89.04062737,78.97416318,3.392463766,91.85972602,88.86193833,NA,NA,NA,153.8991805,1.272800925,1.783439094,10.11527797
43_01:486686,102.156952,92.32311058,79.00803962,2.261476732,88.37681774,85.10804231,12.87040585,2.260148071,0.282263434,203.1839017,1.185913084,2.45031982,13.49176908
43_02:486687,105.568357,98.6996541,81.32223682,3.471655467,83.37808813,80.33084705,28.82555315,2.106604891,0.585816671,235.0754184,1.210673404,2.86263456,13.83774534
43_03:486688,96.25670674,95.31355698,81.02876314,1.832762354,81.98432275,79.10351342,16.77642747,2.215201329,0.352336756,208.3399931,1.226203152,2.625278723,13.01771352
43_05:486689,100.1045355,86.79756825,77.20124137,2.187365332,80.09436487,76.57971361,70.41078125,2.053551388,1.309662995,195.7303969,1.151456436,2.129010372,12.56519912
43_06:486690,92.13076794,83.83815378,78.70213592,2.985609702,79.31067091,79.22047987,6.778512268,2.360829618,0.156950665,225.5269725,1.241873743,2.786688215,5.97069424
44_01:486691,98.25856266,86.50767608,79.08457314,2.660245602,80.39547853,80.05454521,31.66728624,2.07507856,0.60527467,192.3198257,1.163251753,2.22805563,13.0225373
44_02:486692,102.4065878,92.78025017,81.53315487,1.579148604,80.49209692,76.88402595,41.62189896,2.003568413,0.771911318,204.2688196,1.132399094,2.280856728,11.39447249
44_03:486693,NA,89.47023645,79.3845574,2.274139237,80.85009738,80.61223565,15.42859181,2.260806494,0.346782995,248.8096125,1.134825456,2.815271509,12.99075083
44_04:486694,NA,90.90361949,78.7350071,3.849030324,80.62280002,80.61772767,7.802298556,2.348097015,0.180997978,222.7617454,1.274225212,2.923561955,11.35381813
44_05:486695,99.0149786,92.08220417,79.84799923,3.031897502,85.16948713,82.35840014,24.80997701,2.07977011,0.478659487,209.4063581,1.179658476,2.45254659,12.19810981
45_01:486696,94.15189011,87.02344758,78.4182348,2.593750923,89.29813887,85.26081188,15.19680181,2.127606894,0.311941873,218.9080371,1.219019441,2.621876729,11.24887134
45_02:486697,95.01932314,94.73560023,79.77683684,3.702900186,80.25458615,76.48712988,17.18081039,2.100710732,0.342095242,191.7475415,1.170483967,2.087962825,9.538175711
45_03:486698,93.96342571,95.73615481,82.2676935,2.463032598,85.18068232,85.25255209,19.75472516,2.200072719,0.411420628,233.6868171,1.21848721,2.834204646,13.3033251
45_06:486700,92.80687121,84.17859604,75.21620485,4.334214409,102.9366127,95.70255749,7.246956855,2.503921572,0.157897143,215.6585485,1.274874135,2.654106667,10.90289509
46_02:486701,94.69594297,93.347384,83.10672704,1.981145022,83.25344713,81.07436826,12.03582482,2.145069338,0.252472357,199.5446322,1.23485917,2.449867004,14.20452016
46_03:486702,NA,92.30711104,79.81862258,0.715673658,80.27668213,80.56211411,35.75879247,2.066295208,0.705829514,194.3534169,1.050910631,1.779290552,12.11023549
